Français;Allemand;Leçon;Catégorie;Régularité
allemand (langue);das Deutsch;1;Noun;
apprendre;lernen;1;Verb;regular
comprendre;verstehen;1;Verb;irregular
connaître;kennen;1;Verb;irregular
et;und;1;Conjunction;
je;ich;1;Personal pronoun;
oui;ja;1;Modal particle;
peine;die Mühe;1;Noun;
rien;nichts;1;Adjective/Adverb;
sans;ohne (+ acc.);1;Preposition;
tu;du;1;Personal pronoun;
beau (adj.);schön;2;Adjective/Adverb;
ce;das;2;Adjective/Adverb;
de (provenance);aus;2;Preposition;
elle;sie;2;Personal pronoun;
être;sein;2;Verb;irregular
femme;die Frau;2;Noun;
ici;hier;2;Adjective/Adverb;
la (art. déf. f. sujet = nom.);die;2;Article;
nouveau;neu;2;Adjective/Adverb;
où (origine);woher;2;Interrogative;
professeure;die Lehrerin;2;Noun;
qui (p. int. nom.);wer;2;Interrogative;
russe (langue);das Russisch;2;Noun;
Saint-Pétersbourg;Sankt Petersburg;2;Fixed expression;
venir;kommen;2;Verb;regular
beaucoup;viel;3;Adjective/Adverb;
dormir;schlafen;3;Verb;irregular
fatigué;müde;3;Adjective/Adverb;
mais;aber;3;Conjunction;
ou;oder;3;Conjunction;
paresseux;faul;3;Adjective/Adverb;
peu;wenig;3;Adjective/Adverb;
peu (trop ~);zu wenig;3;Adjective/Adverb;
travailler;arbeiten;3;Verb;regular
trop;zu viel;3;Adjective/Adverb;
chambre;das Zimmer;4;Noun;
chambre à coucher;das Schlafzimmer;4;Noun;
combien;wie viel;4;Interrogative;
coûter;kosten;4;Verb;regular
cuisine;die Küche;4;Noun;
euro;der Euro;4;Noun;
il/elle (sujet neutre);es;4;Personal pronoun;
jardin;der Garten;4;Noun;
la (art. déf. neutre sujet = nom.);das;4;Article;
le (art. déf. m. sujet = nom.);der;4;Article;
le (art. déf. neutre sujet = nom.);das;4;Article;
les (art. déf. pl. sujet = nom.);die;4;Article;
maison;das Haus;4;Noun;
problème;das Problem;4;Noun;
appeler (s');heißen;5;Verb;regular
bon (adj.);gut;5;Adjective/Adverb;
comment;wie;5;Interrogative;
dire;sagen;5;Verb;regular
jour;der Tag;5;Noun;
nous (p. pers. sujet = nom.);wir;5;Personal pronoun;
nous (p. réciproque);uns;5;Personal pronoun;
pas de;keine;5;Article;
pouvoir (v.);können;5;Verb;irregular
toujours;immer;5;Adjective/Adverb;
tutoyer;duzen;5;Verb;regular
vous (politesse – sujet);Sie;5;Personal pronoun;
aller;gehen;6;Verb;irregular
aller (en avion);fliegen;6;Verb;irregular
aller (véhicule à roues);fahren;6;Verb;irregular
aujourd'hui;heute;6;Adjective/Adverb;
bien (adv.);gut;6;Adjective/Adverb;
ça;es;6;Personal pronoun;
champignon;der Pilz;6;Noun;
chance;das Glück;6;Noun;
chanceux;der Glückspilz;6;Noun;
conduire;fahren;6;Verb;irregular
congé;der Urlaub;6;Noun;
en;in;6;Preposition;
mettre à jour (données);updaten;6;Verb;regular
où (vers);wohin;6;Interrogative;
partir;fahren / losfahren / weggehen;6;Verb;irregular
rouler (conduire);fahren;6;Verb;irregular
toi (à) (datif);dir;6;Personal pronoun;
vacances;die Ferien / der Urlaub;6;Noun;
vacances (partir en);in die Ferien fahren / in Urlaub fahren;6;Fixed expression;
veinard;der Glückspilz;6;Noun;
vers / à (direction);nach;6;Preposition;
voler;fliegen;6;Verb;irregular
après (prép.);nach (+ dat.);8;Preposition;
avant (prép.);vor (+ acc./dat.);8;Preposition;
devant (prép.);vor;8;Preposition;
exactement;genau;8;Adjective/Adverb;
famille;die Familie;8;Noun;
inversé;umgekehrt;8;Adjective/Adverb;
mon / ma / mes;mein / meine / mein;8;Possessive adjective;
nom;der Name;8;Noun;
nom de famille;der Familienname / der Nachname;8;Noun;
prénom;der Vorname;8;Noun;
sous;unter (+ dat./acc.);8;Preposition;
sur;auf (+ dat./acc.);8;Preposition;
sous;unter (+ dat./acc.);8;Preposition;
sur;auf (+ dat./acc.);8;Preposition;
ton / ta / tes;dein / deine;8;Possessive adjective;
voyager;reisen;8;Verb;regular
vraiment;wirklich;8;Adjective/Adverb;
aller (y ~);los;9;Adjective/Adverb;
arriver;kommen;9;Verb;regular
aussi;auch;9;Modal particle;
avoir;haben;9;Verb;irregular
avoir sur soi;dabeihaben;9;Verb;irregular
déjà;schon;9;Modal particle;
enfin;endlich;9;Modal particle;
faire;machen;9;Verb;regular
il (tournure impersonnelle);es;9;Personal pronoun;
là;da;9;Adjective/Adverb;
que;was;9;Interrogative;
qu'est-ce que;was;9;Interrogative;
quoi;was;9;Interrogative;
tôt;früh;9;Adjective/Adverb;
tout;alles;9;Adjective/Adverb;
tout de suite;sofort / gleich;9;Adjective/Adverb;
très;sehr / ganz;9;Adjective/Adverb;
vous (tutoiement plusieurs personnes – sujet);ihr;9;Personal pronoun;
à;in (+ acc. ou dat.);10;Preposition;
Constance (ville);Konstanz;10;Fixed expression;
cuisinier;der Koch;10;Noun;
entrer;hereinkommen;10;Verb;irregular
fifre;der Pfeiffer;10;Noun;
habiter;wohnen;10;Verb;regular
indiscret;indiskret;10;Adjective/Adverb;
meunier;der Müller;10;Noun;
où (lieu);wo;10;Interrogative;
pêcheur;der Fischer;10;Noun;
place;der Platz;10;Noun;
prendre;nehmen;10;Verb;irregular
question;die Frage;10;Noun;
Rhin;der Rhein;10;Noun;
route;die Straße;10;Noun;
rue;die Straße;10;Noun;
sortir;"hinaus/gehen ; aus/gehen";10;Verb;irregular
sortir;hinausgehen / ausgehen;10;Verb;irregular
une;eine;10;Article;
vieux;alt;10;Adjective/Adverb;
votre / vos (vouvoiement);Ihr;10;Possessive adjective;
âge;alt;11;Adjective/Adverb;
alors;also;11;Modal particle;
commencer;anfangen;11;Verb;irregular
elles;sie;11;Personal pronoun;
frère;der Bruder;11;Noun;
homme (personne);der Mensch;11;Noun;
ils;sie;11;Personal pronoun;
jeune;jung;11;Adjective/Adverb;
maintenant;jetzt;11;Adjective/Adverb;
non;nein;11;Modal particle;
peu (un ~);"etwas ; ein bisschen";11;Adjective/Adverb;
raison (avoir ~);recht haben;11;Fixed expression;
rester;bleiben;11;Verb;irregular
sept;sieben;11;Number/Numeral;
six;sechs;11;Number/Numeral;
sœur;die Schwester;11;Noun;
souvent;oft;11;Adjective/Adverb;
souvent;oft;11;Adjective/Adverb;
tous / toutes;alle;11;Adjective/Adverb;
zen;cool;11;Adjective/Adverb;
bien;ja;12;Modal particle;
bon (pas ~);nicht gut;12;Fixed expression;
bon (très ~);sehr gut;12;Fixed expression;
bon (être ~);gut schmecken;12;Fixed expression;
cuisiner;kochen;12;Verb;regular
donc;denn;12;Conjunction;
fois (une ~);einmal;12;Number/Numeral;
goût (avoir le ~);schmecken;12;Verb;regular
goûter;probieren;12;Verb;regular
il;er;12;Personal pronoun;
manger;essen;12;Verb;irregular
mari;der Mann;12;Noun;
médecin;der Arzt;12;Noun;
on;man;12;Personal pronoun;
quel/le (excl.);was für ein/e;12;Fixed expression;
repas;"das Essen ; die Mahlzeit";12;Noun;
un;ein;12;Article;
un;ein;12;Article;
à;zu (+ inf.);13;Preposition;
au;zu dem (= zum);13;Preposition;
avec;mit (+ dat.);13;Preposition;
beurre;die Butter;13;Noun;
boire;trinken;13;Verb;regular
café (boisson);der Kaffee;13;Noun;
charcuterie;die Wurst;13;Noun;
fromage;der Käse;13;Noun;
fruit;die Frucht;13;Noun;
fruits;das Obst;13;Noun;
lever (se ~);aufstehen;13;Verb;irregular
matin;der Morgen;13;Noun;
monde (tout le ~);alle;13;Adjective/Adverb;
