Français;Allemand;Leçon
allemand (langue);das Deutsch;1
apprendre;lernen;1
comprendre;verstehen;1
connaître;kennen;1
et;und;1
je;ich;1
oui;ja;1
peine;die Mühe;1
rien;nichts;1
sans;ohne (+ acc.);1
tu;du;1
beau (adj.);schön;2
ce;das;2
de (provenance);aus;2
elle;sie;2
être;sein;2
femme;die Frau;2
ici;hier;2
la (art. déf. f. sujet = nom.);die;2
nouveau;neu;2
où (origine);woher;2
professeure;die Lehrerin;2
qui (p. int. nom.);wer;2
russe (langue);das Russisch;2
Saint-Pétersbourg;Sankt Petersburg;2
venir;kommen;2
beaucoup;viel;3
dormir;schlafen;3
fatigué;müde;3
mais;aber;3
ou;oder;3
paresseux;faul;3
peu;wenig;3
peu (trop ~);zu wenig;3
travailler;arbeiten;3
trop;zu viel;3
chambre;das Zimmer;4
chambre à coucher;das Schlafzimmer;4
combien;wie viel;4
coûter;kosten;4
cuisine;die Küche;4
euro;der Euro;4
il/elle (sujet neutre);es;4
jardin;der Garten;4
la (art. déf. neutre sujet = nom.);das;4
le (art. déf. m. sujet = nom.);der;4
le (art. déf. neutre sujet = nom.);das;4
les (art. déf. pl. sujet = nom.);die;4
maison;das Haus;4
problème;das Problem;4
appeler (s’);heißen;5
bon (adj.);gut;5
comment;wie;5
dire;sagen;5
jour;der Tag;5
nous (p. pers. sujet = nom.);wir;5
nous (p. réciproque);uns;5
pas de;keine;5
pouvoir (v.);können;5
toujours;immer;5
tutoyer;duzen;5
vous (politesse – sujet);Sie;5
aller;gehen;6
aller (en avion);fliegen;6
aller (véhicule à roues);fahren;6
aujourd’hui;heute;6
bien (adv.);gut;6
ça;es;6
champignon;der Pilz;6
chance;das Glück;6
chanceux;der Glückspilz;6
conduire;fahren;6
congé;der Urlaub;6
en;in;6
mettre à jour (données);updaten;6
où (vers);wohin;6
partir;fahren / losfahren / weggehen;6
rouler (conduire);fahren;6
toi (à) (datif);dir;6
vacances;die Ferien / der Urlaub;6
vacances (partir en);in die Ferien fahren / in Urlaub fahren;6
veinard;der Glückspilz;6
vers / à (direction);nach;6
voler;fliegen;6
après (prép.);nach (+ dat.);8
avant (prép.);vor (+ acc./dat.);8
devant (prép.);vor;8
exactement;genau;8
famille;die Familie;8
inversé;umgekehrt;8
mon / ma / mes;mein / meine / mein;8
nom;der Name;8
nom de famille;der Familienname / der Nachname;8
prénom;der Vorname;8
sous;unter (+ dat./acc.);8
sur;auf (+ dat./acc.);8
sous;unter (+ dat./acc.);8
sur;auf (+ dat./acc.);8
ton / ta / tes;dein / deine;8
voyager;reisen;8
vraiment;wirklich;8
aller (y ~);los;9
arriver;kommen;9
aussi;auch;9
avoir;haben;9
avoir sur soi;dabeihaben;9
déjà;schon;9
enfin;endlich;9
faire;machen;9
il (tournure impersonnelle);es;9
là;da;9
que;was;9
qu’est-ce que;was;9
quoi;was;9
tôt;früh;9
tout;alles;9
tout de suite;sofort / gleich;9
très;sehr / ganz;9
vous (tutoiement plusieurs personnes – sujet);ihr;9
à;in (+ acc. ou dat.);10
Constance (ville);Konstanz;10
cuisinier;der Koch;10
entrer;hereinkommen;10
fifre;der Pfeiffer;10
habiter;wohnen;10
indiscret;indiskret;10
meunier;der Müller;10
où (lieu);wo;10
pêcheur;der Fischer;10
place;der Platz;10
prendre;nehmen;10
question;die Frage;10
Rhin;der Rhein;10
route;die Straße;10
rue;die Straße;10
sortir;"hinaus/gehen ; aus/gehen";10
sortir;hinausgehen / ausgehen;10
une;eine;10
vieux;alt;10
votre / vos (vouvoiement);Ihr;10
âge;alt;11
alors;also;11
commencer;anfangen;11
elles;sie;11
frère;der Bruder;11
homme (personne);der Mensch;11
ils;sie;11
jeune;jung;11
maintenant;jetzt;11
non;nein;11
peu (un ~);"etwas ; ein bisschen";11
raison (avoir ~);recht haben;11
rester;bleiben;11
sept;sieben;11
six;sechs;11
sœur;die Schwester;11
souvent;oft;11
souvent;oft;11
tous / toutes;alle;11
zen;cool;11
bien;ja;12
bon (pas ~);nicht gut;12
bon (très ~);sehr gut;12
bon (être ~);gut schmecken;12
cuisiner;kochen;12
donc;denn;12
fois (une ~);einmal;12
goût (avoir le ~);schmecken;12
goûter;probieren;12
il;er;12
manger;essen;12
mari;der Mann;12
médecin;der Arzt;12
on;man;12
quel/le (excl.);was für ein/e;12
repas;"das Essen ; die Mahlzeit";12
un;ein;12
un;ein;12
à;zu (+ inf.);13
au;zu dem (= zum);13
avec;mit (+ dat.);13
beurre;die Butter;13
boire;trinken;13
café (boisson);der Kaffee;13
charcuterie;die Wurst;13
fromage;der Käse;13
fruit;die Frucht;13
fruits;das Obst;13
lever (se ~);aufstehen;13
matin;der Morgen;13
monde (tout le ~);alle;13
morceau;das Stück;13
ne… pas;nicht;13
œuf;das Ei;13
œuf à la coque;das Frühstücksei;13
oublier;vergessen;13
pain;das Brot;13
petit pain;das Brötchen;13
petit-déjeuner;das Frühstück;13
petit-déjeuner (au ~);zum Frühstück;13
thé;der Tee;13
voir;sehen;13
apporter;bringen;15
assiette;der Teller;15
cassé;kaputt;15
casser;kaputt machen;15
clé;der Schlüssel;15
clé de la maison;der Hausschlüssel;15
débris;die Scherben;15
désordre;die Unordnung;15
fumier;der Mist;15
heureux;glücklich;15
juste (être ~);stimmen;15
laisser;lassen;15
malchance;das Unglück;15
malheureux;unglücklich;15
miracle;das Wunder;15
nous (p. pers. acc.);uns;15
ordre;die Ordnung;15
papiers;die Papiere;15
papiers (voiture);die Autopapiere;15
pièce;das Zimmer;15
ranger;auf/räumen;15
salon;das Wohnzimmer;15
serrure;das Schloss;15
